Driver,Team,Compound,TyreLife,Position,LapTimeSeconds,Year,Round
VER,Red Bull Racing,INTERMEDIATE,1.0,5.0,119.392,2024,1
VER,Red Bull Racing,INTERMEDIATE,5.0,2.0,143.609,2024,1
VER,Red Bull Racing,INTERMEDIATE,6.0,2.0,139.654,2024,1
VER,Red Bull Racing,INTERMEDIATE,7.0,2.0,136.447,2024,1
VER,Red Bull Racing,INTERMEDIATE,8.0,2.0,96.83,2024,1
VER,Red Bull Racing,INTERMEDIATE,9.0,2.0,94.315,2024,1
VER,Red Bull Racing,INTERMEDIATE,10.0,2.0,92.65,2024,1
VER,Red Bull Racing,INTERMEDIATE,11.0,2.0,92.453,2024,1
VER,Red Bull Racing,INTERMEDIATE,12.0,2.0,91.591,2024,1
VER,Red Bull Racing,INTERMEDIATE,13.0,2.0,91.271,2024,1
VER,Red Bull Racing,INTERMEDIATE,14.0,2.0,90.639,2024,1
VER,Red Bull Racing,INTERMEDIATE,15.0,2.0,90.328,2024,1
VER,Red Bull Racing,INTERMEDIATE,16.0,2.0,90.592,2024,1
VER,Red Bull Racing,INTERMEDIATE,17.0,3.0,93.392,2024,1
VER,Red Bull Racing,INTERMEDIATE,18.0,3.0,92.169,2024,1
VER,Red Bull Racing,INTERMEDIATE,19.0,3.0,91.939,2024,1
VER,Red Bull Racing,INTERMEDIATE,20.0,3.0,91.598,2024,1
VER,Red Bull Racing,INTERMEDIATE,21.0,3.0,91.177,2024,1
VER,Red Bull Racing,INTERMEDIATE,22.0,3.0,91.04,2024,1
VER,Red Bull Racing,INTERMEDIATE,23.0,3.0,90.686,2024,1
VER,Red Bull Racing,INTERMEDIATE,24.0,3.0,90.978,2024,1
VER,Red Bull Racing,INTERMEDIATE,25.0,3.0,90.845,2024,1
VER,Red Bull Racing,INTERMEDIATE,26.0,3.0,90.293,2024,1
VER,Red Bull Racing,INTERMEDIATE,27.0,3.0,89.731,2024,1
VER,Red Bull Racing,INTERMEDIATE,28.0,3.0,89.411,2024,1
VER,Red Bull Racing,INTERMEDIATE,29.0,3.0,89.043,2024,1
VER,Red Bull Racing,INTERMEDIATE,30.0,3.0,88.237,2024,1
VER,Red Bull Racing,INTERMEDIATE,31.0,3.0,88.127,2024,1
VER,Red Bull Racing,INTERMEDIATE,32.0,3.0,88.208,2024,1
VER,Red Bull Racing,INTERMEDIATE,33.0,3.0,88.046,2024,1
VER,Red Bull Racing,INTERMEDIATE,34.0,3.0,128.598,2024,1
VER,Red Bull Racing,MEDIUM,1.0,3.0,124.508,2024,1
VER,Red Bull Racing,MEDIUM,2.0,3.0,116.334,2024,1
VER,Red Bull Racing,MEDIUM,4.0,3.0,137.91,2024,1
VER,Red Bull Racing,MEDIUM,5.0,3.0,132.714,2024,1
VER,Red Bull Racing,MEDIUM,6.0,3.0,131.498,2024,1
VER,Red Bull Racing,MEDIUM,7.0,3.0,132.004,2024,1
VER,Red Bull Racing,MEDIUM,8.0,3.0,85.317,2024,1
VER,Red Bull Racing,MEDIUM,9.0,3.0,83.081,2024,1
VER,Red Bull Racing,MEDIUM,10.0,1.0,86.789,2024,1
VER,Red Bull Racing,MEDIUM,11.0,1.0,92.874,2024,1
VER,Red Bull Racing,MEDIUM,12.0,5.0,112.606,2024,1
VER,Red Bull Racing,INTERMEDIATE,1.0,2.0,127.213,2024,1
VER,Red Bull Racing,INTERMEDIATE,2.0,2.0,122.406,2024,1
VER,Red Bull Racing,INTERMEDIATE,3.0,2.0,144.892,2024,1
VER,Red Bull Racing,INTERMEDIATE,4.0,2.0,142.085,2024,1
VER,Red Bull Racing,INTERMEDIATE,5.0,2.0,133.879,2024,1
VER,Red Bull Racing,INTERMEDIATE,6.0,2.0,93.864,2024,1
VER,Red Bull Racing,INTERMEDIATE,7.0,2.0,90.859,2024,1
VER,Red Bull Racing,INTERMEDIATE,8.0,2.0,89.1,2024,1
VER,Red Bull Racing,INTERMEDIATE,9.0,2.0,88.538,2024,1
VER,Red Bull Racing,INTERMEDIATE,10.0,2.0,87.921,2024,1
VER,Red Bull Racing,INTERMEDIATE,11.0,2.0,87.4,2024,1
GAS,Alpine,INTERMEDIATE,1.0,12.0,134.132,2024,1
GAS,Alpine,INTERMEDIATE,5.0,9.0,141.36,2024,1
GAS,Alpine,INTERMEDIATE,6.0,9.0,139.952,2024,1
GAS,Alpine,INTERMEDIATE,7.0,9.0,126.733,2024,1
GAS,Alpine,INTERMEDIATE,8.0,9.0,98.441,2024,1
GAS,Alpine,INTERMEDIATE,9.0,9.0,96.062,2024,1
GAS,Alpine,INTERMEDIATE,10.0,9.0,95.527,2024,1
GAS,Alpine,INTERMEDIATE,11.0,9.0,94.702,2024,1
GAS,Alpine,INTERMEDIATE,12.0,9.0,94.227,2024,1
GAS,Alpine,INTERMEDIATE,13.0,9.0,93.275,2024,1
GAS,Alpine,INTERMEDIATE,14.0,9.0,92.859,2024,1
GAS,Alpine,INTERMEDIATE,15.0,9.0,92.744,2024,1
GAS,Alpine,INTERMEDIATE,16.0,9.0,92.445,2024,1
GAS,Alpine,INTERMEDIATE,17.0,9.0,92.795,2024,1
GAS,Alpine,INTERMEDIATE,18.0,9.0,93.124,2024,1
GAS,Alpine,INTERMEDIATE,19.0,9.0,92.462,2024,1
GAS,Alpine,INTERMEDIATE,20.0,9.0,92.327,2024,1
GAS,Alpine,INTERMEDIATE,21.0,9.0,92.323,2024,1
GAS,Alpine,INTERMEDIATE,22.0,9.0,92.355,2024,1
GAS,Alpine,INTERMEDIATE,23.0,9.0,92.438,2024,1
GAS,Alpine,INTERMEDIATE,24.0,9.0,92.035,2024,1
GAS,Alpine,INTERMEDIATE,25.0,9.0,91.622,2024,1
GAS,Alpine,INTERMEDIATE,26.0,9.0,90.928,2024,1
GAS,Alpine,INTERMEDIATE,27.0,9.0,90.635,2024,1
GAS,Alpine,INTERMEDIATE,28.0,9.0,90.382,2024,1
GAS,Alpine,INTERMEDIATE,29.0,9.0,90.051,2024,1
GAS,Alpine,INTERMEDIATE,30.0,9.0,90.124,2024,1
GAS,Alpine,INTERMEDIATE,31.0,9.0,89.299,2024,1
GAS,Alpine,INTERMEDIATE,32.0,9.0,89.383,2024,1
GAS,Alpine,INTERMEDIATE,33.0,9.0,111.3,2024,1
GAS,Alpine,HARD,1.0,9.0,145.049,2024,1
GAS,Alpine,HARD,2.0,9.0,105.531,2024,1
GAS,Alpine,HARD,3.0,9.0,101.62,2024,1
GAS,Alpine,HARD,4.0,9.0,127.218,2024,1
GAS,Alpine,HARD,5.0,9.0,139.376,2024,1
GAS,Alpine,HARD,6.0,9.0,131.226,2024,1
GAS,Alpine,HARD,7.0,9.0,130.476,2024,1
GAS,Alpine,HARD,8.0,9.0,126.368,2024,1
GAS,Alpine,HARD,9.0,9.0,87.942,2024,1
GAS,Alpine,HARD,10.0,9.0,85.02,2024,1
GAS,Alpine,HARD,11.0,4.0,88.332,2024,1
GAS,Alpine,HARD,12.0,4.0,92.969,2024,1
GAS,Alpine,HARD,13.0,11.0,116.069,2024,1
GAS,Alpine,INTERMEDIATE,1.0,8.0,126.74,2024,1
GAS,Alpine,INTERMEDIATE,2.0,8.0,121.785,2024,1
GAS,Alpine,INTERMEDIATE,3.0,8.0,144.669,2024,1
GAS,Alpine,INTERMEDIATE,4.0,8.0,137.754,2024,1
GAS,Alpine,INTERMEDIATE,5.0,8.0,131.745,2024,1
GAS,Alpine,INTERMEDIATE,6.0,8.0,96.326,2024,1
GAS,Alpine,INTERMEDIATE,7.0,8.0,92.297,2024,1
GAS,Alpine,INTERMEDIATE,8.0,10.0,94.967,2024,1
GAS,Alpine,INTERMEDIATE,9.0,11.0,92.316,2024,1
GAS,Alpine,INTERMEDIATE,10.0,11.0,90.866,2024,1
GAS,Alpine,INTERMEDIATE,11.0,11.0,91.312,2024,1
ANT,Mercedes,INTERMEDIATE,1.0,16.0,142.352,2024,1
ANT,Mercedes,INTERMEDIATE,5.0,13.0,139.163,2024,1
ANT,Mercedes,INTERMEDIATE,6.0,13.0,141.111,2024,1
ANT,Mercedes,INTERMEDIATE,7.0,13.0,123.412,2024,1
ANT,Mercedes,INTERMEDIATE,8.0,13.0,98.729,2024,1
ANT,Mercedes,INTERMEDIATE,9.0,13.0,96.312,2024,1
ANT,Mercedes,INTERMEDIATE,10.0,13.0,95.27,2024,1
ANT,Mercedes,INTERMEDIATE,11.0,13.0,94.678,2024,1
ANT,Mercedes,INTERMEDIATE,12.0,13.0,95.385,2024,1
ANT,Mercedes,INTERMEDIATE,13.0,13.0,93.697,2024,1
ANT,Mercedes,INTERMEDIATE,14.0,12.0,93.802,2024,1
ANT,Mercedes,INTERMEDIATE,15.0,12.0,92.212,2024,1
ANT,Mercedes,INTERMEDIATE,16.0,13.0,97.326,2024,1
ANT,Mercedes,INTERMEDIATE,17.0,12.0,92.312,2024,1
ANT,Mercedes,INTERMEDIATE,18.0,12.0,92.181,2024,1
ANT,Mercedes,INTERMEDIATE,19.0,12.0,91.942,2024,1
ANT,Mercedes,INTERMEDIATE,20.0,12.0,91.319,2024,1
ANT,Mercedes,INTERMEDIATE,21.0,12.0,91.042,2024,1
ANT,Mercedes,INTERMEDIATE,22.0,11.0,91.887,2024,1
ANT,Mercedes,INTERMEDIATE,23.0,11.0,91.324,2024,1
ANT,Mercedes,INTERMEDIATE,24.0,11.0,90.822,2024,1
ANT,Mercedes,INTERMEDIATE,25.0,11.0,90.706,2024,1
ANT,Mercedes,INTERMEDIATE,26.0,11.0,91.299,2024,1
ANT,Mercedes,INTERMEDIATE,27.0,11.0,90.463,2024,1
ANT,Mercedes,INTERMEDIATE,28.0,11.0,90.716,2024,1
ANT,Mercedes,INTERMEDIATE,29.0,11.0,89.919,2024,1
ANT,Mercedes,INTERMEDIATE,30.0,11.0,89.794,2024,1
ANT,Mercedes,INTERMEDIATE,31.0,11.0,89.245,2024,1
ANT,Mercedes,INTERMEDIATE,32.0,11.0,89.032,2024,1
ANT,Mercedes,INTERMEDIATE,33.0,10.0,112.635,2024,1
ANT,Mercedes,HARD,1.0,10.0,142.596,2024,1
ANT,Mercedes,HARD,2.0,10.0,104.67,2024,1
ANT,Mercedes,HARD,3.0,10.0,101.655,2024,1
ANT,Mercedes,HARD,4.0,10.0,127.298,2024,1
ANT,Mercedes,HARD,5.0,10.0,139.681,2024,1
ANT,Mercedes,HARD,6.0,10.0,131.642,2024,1
ANT,Mercedes,HARD,7.0,10.0,129.615,2024,1
ANT,Mercedes,HARD,8.0,10.0,126.22,2024,1
ANT,Mercedes,HARD,9.0,10.0,87.505,2024,1
ANT,Mercedes,HARD,10.0,10.0,84.901,2024,1
ANT,Mercedes,HARD,11.0,11.0,108.276,2024,1
ANT,Mercedes,INTERMEDIATE,1.0,11.0,95.593,2024,1
ANT,Mercedes,INTERMEDIATE,2.0,8.0,90.78,2024,1
ANT,Mercedes,INTERMEDIATE,3.0,5.0,125.75,2024,1
ANT,Mercedes,INTERMEDIATE,4.0,5.0,118.429,2024,1
ANT,Mercedes,INTERMEDIATE,5.0,5.0,144.964,2024,1
ANT,Mercedes,INTERMEDIATE,6.0,5.0,140.284,2024,1
ANT,Mercedes,INTERMEDIATE,7.0,5.0,132.971,2024,1
ANT,Mercedes,INTERMEDIATE,8.0,5.0,95.008,2024,1
